tweet,location,request_type,urgency
Requesting Food & Supplies support in Kanpur. Please help.,Kanpur,Food & Supplies,Urgent
"Family stranded in Kolkata, require Humanitarian.",Kolkata,Humanitarian,Urgent
Urgent call for Humanitarian aid in Pune.,Pune,Humanitarian,Urgent
Community in Thiruvananthapuram asking for Medical assistance.,Thiruvananthapuram,Medical,Urgent
"Supplies running low in Agartala, need Medical.",Agartala,Medical,Non-Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Food & Supplies,Urgent
Community in Udaipur asking for Food & Supplies assistance.,Udaipur,Food & Supplies,Urgent
Looking for volunteers in Imphal for Food & Supplies help.,Imphal,Food & Supplies,Urgent
Looking for volunteers in Goa for Medical help.,Goa,Medical,Urgent
Senior citizens need Food & Supplies assistance in Goa.,Goa,Food & Supplies,Non-Urgent
Need immediate assistance in Itanagar. Situation critical.,Itanagar,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Gurugram.,Gurugram,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Cuttack.,Cuttack,Medical,Non-Urgent
"Supplies running low in Chennai, need Food & Supplies.",Chennai,Food & Supplies,Urgent
Community in Surat asking for Humanitarian assistance.,Surat,Humanitarian,Non-Urgent
Urgent call for Medical aid in Kolkata.,Kolkata,Medical,Urgent
Requesting Humanitarian support in Jaipur. Please help.,Jaipur,Humanitarian,Non-Urgent
Need immediate assistance in Mysuru. Situation critical.,Mysuru,Medical,Urgent
"Family stranded in Ranchi, require Humanitarian.",Ranchi,Humanitarian,Non-Urgent
Need immediate assistance in Guwahati. Situation critical.,Guwahati,Medical,Urgent
Community in Srinagar asking for Food & Supplies assistance.,Srinagar,Food & Supplies,Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Food & Supplies,Urgent
"Family stranded in Agartala, require Food & Supplies.",Agartala,Food & Supplies,Non-Urgent
"Family stranded in Hyderabad, require Medical.",Hyderabad,Medical,Urgent
Need immediate assistance in Nagpur. Situation critical.,Nagpur,Humanitarian,Urgent
"Family stranded in Mysuru, require Humanitarian.",Mysuru,Humanitarian,Non-Urgent
Requesting Medical support in Ahmedabad. Please help.,Ahmedabad,Medical,Non-Urgent
Community in Ahmedabad asking for Food & Supplies assistance.,Ahmedabad,Food & Supplies,Urgent
Medical emergency reported in Ahmedabad. Need Humanitarian.,Ahmedabad,Humanitarian,Non-Urgent
"Family stranded in Gurugram, require Humanitarian.",Gurugram,Humanitarian,Urgent
Need immediate assistance in Ahmedabad. Situation critical.,Ahmedabad,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Aizawl.,Aizawl,Food & Supplies,Urgent
Requesting Medical support in Udaipur. Please help.,Udaipur,Medical,Urgent
Community in Agartala asking for Medical assistance.,Agartala,Medical,Non-Urgent
Medical emergency reported in Noida. Need Medical.,Noida,Medical,Urgent
"Family stranded in Kochi, require Food & Supplies.",Kochi,Food & Supplies,Urgent
Urgent call for Medical aid in Shillong.,Shillong,Medical,Urgent
Urgent call for Humanitarian aid in Thiruvananthapuram.,Thiruvananthapuram,Humanitarian,Urgent
"Family stranded in Imphal, require Medical.",Imphal,Medical,Non-Urgent
Community in Mumbai asking for Food & Supplies assistance.,Mumbai,Food & Supplies,Non-Urgent
Community in Jaipur asking for Food & Supplies assistance.,Jaipur,Food & Supplies,Urgent
Urgent call for Medical aid in Warangal.,Warangal,Medical,Non-Urgent
Urgent call for Humanitarian aid in Ranchi.,Ranchi,Humanitarian,Non-Urgent
"Family stranded in Nagpur, require Humanitarian.",Nagpur,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Indore.,Indore,Humanitarian,Non-Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Food & Supplies,Urgent
"Supplies running low in Agartala, need Food & Supplies.",Agartala,Food & Supplies,Non-Urgent
Community in Bhopal asking for Humanitarian assistance.,Bhopal,Humanitarian,Non-Urgent
Urgent call for Medical aid in Siliguri.,Siliguri,Medical,Non-Urgent
"Supplies running low in Mysuru, need Food & Supplies.",Mysuru,Food & Supplies,Urgent
Community in Nagpur asking for Humanitarian assistance.,Nagpur,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Surat. Please help.,Surat,Food & Supplies,Urgent
"Supplies running low in Nagpur, need Medical.",Nagpur,Medical,Urgent
Looking for volunteers in Leh for Medical help.,Leh,Medical,Urgent
Requesting Food & Supplies support in Lucknow. Please help.,Lucknow,Food & Supplies,Non-Urgent
Community in Imphal asking for Humanitarian assistance.,Imphal,Humanitarian,Urgent
Looking for volunteers in Gurugram for Medical help.,Gurugram,Medical,Non-Urgent
Community in Nagpur asking for Medical assistance.,Nagpur,Medical,Urgent
"Supplies running low in Indore, need Humanitarian.",Indore,Humanitarian,Urgent
Requesting Humanitarian support in Srinagar. Please help.,Srinagar,Humanitarian,Urgent
Medical emergency reported in Lucknow. Need Food & Supplies.,Lucknow,Food & Supplies,Urgent
Need immediate assistance in Goa. Situation critical.,Goa,Medical,Urgent
Children in Ahmedabad require urgent Medical support.,Ahmedabad,Medical,Urgent
Senior citizens need Food & Supplies assistance in Leh.,Leh,Food & Supplies,Urgent
Medical emergency reported in Goa. Need Food & Supplies.,Goa,Food & Supplies,Non-Urgent
Community in Itanagar asking for Humanitarian assistance.,Itanagar,Humanitarian,Urgent
Children in Kolkata require urgent Humanitarian support.,Kolkata,Humanitarian,Urgent
Urgent call for Medical aid in Srinagar.,Srinagar,Medical,Non-Urgent
Medical emergency reported in Bhopal. Need Medical.,Bhopal,Medical,Urgent
Children in Gurugram require urgent Food & Supplies support.,Gurugram,Food & Supplies,Urgent
"Supplies running low in Mysuru, need Food & Supplies.",Mysuru,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Vadodara.,Vadodara,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Shillong.,Shillong,Food & Supplies,Urgent
"Supplies running low in Bhopal, need Medical.",Bhopal,Medical,Urgent
Senior citizens need Food & Supplies assistance in Warangal.,Warangal,Food & Supplies,Non-Urgent
"Family stranded in Pune, require Humanitarian.",Pune,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Guwahati.,Guwahati,Food & Supplies,Urgent
Need immediate assistance in Warangal. Situation critical.,Warangal,Food & Supplies,Non-Urgent
"Family stranded in Gurugram, require Food & Supplies.",Gurugram,Food & Supplies,Urgent
Community in Cuttack asking for Humanitarian assistance.,Cuttack,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Bengaluru.,Bengaluru,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Guwahati. Please help.,Guwahati,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Thiruvananthapuram.,Thiruvananthapuram,Food & Supplies,Non-Urgent
Requesting Medical support in Srinagar. Please help.,Srinagar,Medical,Urgent
"Supplies running low in Ahmedabad, need Medical.",Ahmedabad,Medical,Non-Urgent
Requesting Humanitarian support in Udaipur. Please help.,Udaipur,Humanitarian,Non-Urgent
Looking for volunteers in Surat for Medical help.,Surat,Medical,Non-Urgent
Looking for volunteers in Goa for Humanitarian help.,Goa,Humanitarian,Urgent
Community in Kolkata asking for Humanitarian assistance.,Kolkata,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Itanagar.,Itanagar,Food & Supplies,Non-Urgent
Looking for volunteers in Delhi for Humanitarian help.,Delhi,Humanitarian,Urgent
"Supplies running low in Mumbai, need Medical.",Mumbai,Medical,Urgent
Children in Cuttack require urgent Humanitarian support.,Cuttack,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Mysuru.,Mysuru,Humanitarian,Non-Urgent
Urgent call for Medical aid in Patna.,Patna,Medical,Non-Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Coimbatore.,Coimbatore,Medical,Non-Urgent
"Family stranded in Kanpur, require Food & Supplies.",Kanpur,Food & Supplies,Non-Urgent
Need immediate assistance in Leh. Situation critical.,Leh,Medical,Urgent
Senior citizens need Food & Supplies assistance in Aizawl.,Aizawl,Food & Supplies,Urgent
Medical emergency reported in Surat. Need Food & Supplies.,Surat,Food & Supplies,Urgent
Looking for volunteers in Kolkata for Medical help.,Kolkata,Medical,Non-Urgent
Medical emergency reported in Ahmedabad. Need Humanitarian.,Ahmedabad,Humanitarian,Urgent
Children in Noida require urgent Food & Supplies support.,Noida,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Delhi.,Delhi,Humanitarian,Urgent
Children in Indore require urgent Medical support.,Indore,Medical,Urgent
"Supplies running low in Nagpur, need Food & Supplies.",Nagpur,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Warangal.,Warangal,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Srinagar.,Srinagar,Medical,Non-Urgent
"Family stranded in Lucknow, require Medical.",Lucknow,Medical,Urgent
Urgent call for Humanitarian aid in Thiruvananthapuram.,Thiruvananthapuram,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Indore.,Indore,Food & Supplies,Urgent
Looking for volunteers in Udaipur for Humanitarian help.,Udaipur,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Srinagar.,Srinagar,Humanitarian,Urgent
Children in Kanpur require urgent Humanitarian support.,Kanpur,Humanitarian,Non-Urgent
Need immediate assistance in Indore. Situation critical.,Indore,Humanitarian,Urgent
Medical emergency reported in Chennai. Need Humanitarian.,Chennai,Humanitarian,Urgent
Community in Surat asking for Food & Supplies assistance.,Surat,Food & Supplies,Non-Urgent
"Supplies running low in Bhopal, need Food & Supplies.",Bhopal,Food & Supplies,Urgent
Looking for volunteers in Pune for Food & Supplies help.,Pune,Food & Supplies,Non-Urgent
Children in Itanagar require urgent Medical support.,Itanagar,Medical,Non-Urgent
"Supplies running low in Itanagar, need Humanitarian.",Itanagar,Humanitarian,Urgent
Looking for volunteers in Hyderabad for Humanitarian help.,Hyderabad,Humanitarian,Non-Urgent
Medical emergency reported in Delhi. Need Food & Supplies.,Delhi,Food & Supplies,Urgent
Requesting Food & Supplies support in Hyderabad. Please help.,Hyderabad,Food & Supplies,Urgent
Requesting Food & Supplies support in Jaipur. Please help.,Jaipur,Food & Supplies,Non-Urgent
"Family stranded in Noida, require Medical.",Noida,Medical,Non-Urgent
Senior citizens need Medical assistance in Gurugram.,Gurugram,Medical,Non-Urgent
"Family stranded in Srinagar, require Humanitarian.",Srinagar,Humanitarian,Urgent
"Family stranded in Goa, require Medical.",Goa,Medical,Urgent
Need immediate assistance in Lucknow. Situation critical.,Lucknow,Food & Supplies,Non-Urgent
Children in Siliguri require urgent Medical support.,Siliguri,Medical,Non-Urgent
Looking for volunteers in Udaipur for Medical help.,Udaipur,Medical,Urgent
Community in Mumbai asking for Humanitarian assistance.,Mumbai,Humanitarian,Urgent
"Supplies running low in Shillong, need Medical.",Shillong,Medical,Non-Urgent
"Family stranded in Indore, require Humanitarian.",Indore,Humanitarian,Urgent
Community in Pune asking for Food & Supplies assistance.,Pune,Food & Supplies,Urgent
Need immediate assistance in Siliguri. Situation critical.,Siliguri,Humanitarian,Non-Urgent
Children in Srinagar require urgent Medical support.,Srinagar,Medical,Non-Urgent
Community in Siliguri asking for Food & Supplies assistance.,Siliguri,Food & Supplies,Non-Urgent
Children in Bhopal require urgent Medical support.,Bhopal,Medical,Urgent
Community in Noida asking for Humanitarian assistance.,Noida,Humanitarian,Urgent
Community in Noida asking for Food & Supplies assistance.,Noida,Food & Supplies,Non-Urgent
Looking for volunteers in Noida for Medical help.,Noida,Medical,Urgent
Community in Chennai asking for Food & Supplies assistance.,Chennai,Food & Supplies,Urgent
Community in Aizawl asking for Food & Supplies assistance.,Aizawl,Food & Supplies,Non-Urgent
Requesting Medical support in Chandigarh. Please help.,Chandigarh,Medical,Urgent
Senior citizens need Medical assistance in Mysuru.,Mysuru,Medical,Non-Urgent
Looking for volunteers in Nagpur for Humanitarian help.,Nagpur,Humanitarian,Non-Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Kanpur.,Kanpur,Medical,Non-Urgent
Medical emergency reported in Noida. Need Medical.,Noida,Medical,Non-Urgent
Community in Cuttack asking for Food & Supplies assistance.,Cuttack,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Nagpur.,Nagpur,Humanitarian,Non-Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Humanitarian,Urgent
Community in Siliguri asking for Medical assistance.,Siliguri,Medical,Urgent
Urgent call for Medical aid in Warangal.,Warangal,Medical,Urgent
Community in Siliguri asking for Food & Supplies assistance.,Siliguri,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Warangal. Please help.,Warangal,Humanitarian,Urgent
Senior citizens need Humanitarian assistance in Aizawl.,Aizawl,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Agartala.,Agartala,Food & Supplies,Non-Urgent
"Family stranded in Jammu, require Food & Supplies.",Jammu,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Udaipur.,Udaipur,Humanitarian,Urgent
Need immediate assistance in Bengaluru. Situation critical.,Bengaluru,Food & Supplies,Non-Urgent
Medical emergency reported in Cuttack. Need Food & Supplies.,Cuttack,Food & Supplies,Urgent
Need immediate assistance in Mumbai. Situation critical.,Mumbai,Humanitarian,Non-Urgent
Community in Surat asking for Medical assistance.,Surat,Medical,Urgent
Requesting Humanitarian support in Ranchi. Please help.,Ranchi,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Hyderabad.,Hyderabad,Humanitarian,Urgent
Children in Udaipur require urgent Medical support.,Udaipur,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Shillong.,Shillong,Food & Supplies,Non-Urgent
Children in Jaipur require urgent Humanitarian support.,Jaipur,Humanitarian,Urgent
Requesting Humanitarian support in Hyderabad. Please help.,Hyderabad,Humanitarian,Non-Urgent
Children in Srinagar require urgent Food & Supplies support.,Srinagar,Food & Supplies,Non-Urgent
Looking for volunteers in Warangal for Food & Supplies help.,Warangal,Food & Supplies,Non-Urgent
Community in Shillong asking for Food & Supplies assistance.,Shillong,Food & Supplies,Urgent
Community in Shillong asking for Food & Supplies assistance.,Shillong,Food & Supplies,Non-Urgent
Need immediate assistance in Siliguri. Situation critical.,Siliguri,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Leh.,Leh,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Food & Supplies,Non-Urgent
Medical emergency reported in Coimbatore. Need Humanitarian.,Coimbatore,Humanitarian,Urgent
Children in Patna require urgent Medical support.,Patna,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Jaipur.,Jaipur,Food & Supplies,Non-Urgent
"Supplies running low in Leh, need Food & Supplies.",Leh,Food & Supplies,Urgent
Children in Warangal require urgent Humanitarian support.,Warangal,Humanitarian,Non-Urgent
Medical emergency reported in Guwahati. Need Humanitarian.,Guwahati,Humanitarian,Urgent
"Supplies running low in Imphal, need Humanitarian.",Imphal,Humanitarian,Non-Urgent
Community in Cuttack asking for Humanitarian assistance.,Cuttack,Humanitarian,Urgent
Medical emergency reported in Chandigarh. Need Humanitarian.,Chandigarh,Humanitarian,Non-Urgent
Community in Indore asking for Food & Supplies assistance.,Indore,Food & Supplies,Non-Urgent
